********  LANDSAT 9 SCENE CAPTURE SCHEDULE  ********

          ** All times listed in GMT **
--------------------------------------------------
Scenes collected by the LGS, and ASA stations
are scheduled for receipt and processing by EROS.
These scenes are available to the public from the
USGS Earth Resources Observation and Science (EROS)
archive:
https://www.usgs.gov/landsat-missions

Scenes scheduled for receipt by all other
International Ground Stations (IGS) must be
ordered through those stations.
For more information on IGS, please visit:
http://landsat.usgs.gov/about_ground_stations.php
Inclusion on this list does not guarantee that a
scene will actually be received by EROS.

--------------------------------------------------
PATH  ROW         IMAGE START          STATION
--------------------------------------------------
 100   17         010-00:25:27           LGN
 100   18         010-00:25:51           LGN
 100   19         010-00:26:15           LGN
 100   20         010-00:26:39           LGN
 100   21         010-00:27:03           LGN
 100   22         010-00:27:27           LGN
 100   23         010-00:27:51           LGN
 100   24         010-00:28:15           LGN
 100   25         010-00:28:38           LGN
 100   26         010-00:29:02           LGN
 100   47         010-00:37:24           LGN
 100   48         010-00:37:48           LGN
 100   49         010-00:38:12           LGN
 100   50         010-00:38:36           LGN
 100   51         010-00:39:00           LGN
 100   54         010-00:40:11           LGN
 100   55         010-00:40:35           LGN
 100   61         010-00:42:59           LGN
 100   62         010-00:43:23           LGN
 100   63         010-00:43:47           LGN
 100   64         010-00:44:11           LGN
 100   65         010-00:44:34           LGN
 100   66         010-00:44:58           LGN
 100   67         010-00:45:22           LGN
 100   68         010-00:45:46           LGN
 100   69         010-00:46:10           ASN
 100   70         010-00:46:34           ASN
 100   71         010-00:46:58           ASN
 100   72         010-00:47:22           ASN
 100   73         010-00:47:46           ASN
 100   74         010-00:48:10           ASN
 100   75         010-00:48:34           ASN
 100   76         010-00:48:58           ASN
 100   77         010-00:49:22           ASN
 100   78         010-00:49:46           ASN
 100   79         010-00:50:10           ASN
 100   80         010-00:50:34           ASN
 100   81         010-00:50:57           ASN
 100   82         010-00:51:21           ASN
 100   83         010-00:51:45           ASN
 100   84         010-00:52:09           ASN
 100   85         010-00:52:33           ASN
 100  106         010-01:00:57           LGN
 100  107         010-01:01:21           LGN
 100  108         010-01:01:45           LGN
 100  109         010-01:02:09           LGN
 100  110         010-01:02:33           LGN
 100  111         010-01:02:57           LGN
 100  112         010-01:03:20           LGN
 100  113         010-01:03:44           LGN
 100  114         010-01:04:08           LGN
 100  115         010-01:04:32           LGN
 100  116         010-01:04:56           LGN
 100  117         010-01:05:20           LGN
 100  118         010-01:05:44           LGN
 100  119         010-01:06:08           LGN
 100  120         010-01:06:32           LGN
 100  121         010-01:06:56           LGN
 100  122         010-01:07:20           LGN
 116   17         010-02:04:21           LGN
 116   18         010-02:04:44           LGN
 116   19         010-02:05:08           LGN
 116   20         010-02:05:32           BJC
 116   21         010-02:05:56           BJC
 116   22         010-02:06:20           BJC
 116   23         010-02:06:44           BJC
 116   24         010-02:07:08           BJC
 116   25         010-02:07:32           BJC
 116   26         010-02:07:55           BJC
 116   27         010-02:08:19           BJC
 116   28         010-02:08:43           BJC
 116   29         010-02:09:07           BJC
 116   30         010-02:09:31           BJC
 116   31         010-02:09:55           BJC
 116   32         010-02:10:19           BJC
 116   33         010-02:10:43           BJC
 116   34         010-02:11:07           BJC
 116   35         010-02:11:30           BJC
 116   36         010-02:11:54           BJC
 116   37         010-02:12:18           BJC
 116   38         010-02:12:42           BJC
 116   39         010-02:13:06           BJC
 116   40         010-02:13:30           BJC
 116   41         010-02:13:54           BJC
 116   42         010-02:14:18           BJC
 116   43         010-02:14:42           BJC
 116   46         010-02:15:53           BJC
 116   47         010-02:16:17           SNC
 116   48         010-02:16:41           SNC
 116   49         010-02:17:05           SNC
 116   50         010-02:17:29           SNC
 116   51         010-02:17:53           SNC
 116   52         010-02:18:17           SNC
 116   53         010-02:18:41           SNC
 116   54         010-02:19:04           SNC
 116   55         010-02:19:28           SNC
 116   56         010-02:19:52           SNC
 116   57         010-02:20:16           SNC
 116   58         010-02:20:40           SNC
 116   59         010-02:21:04           SNC
 116   60         010-02:21:28           SNC
 116   61         010-02:21:52           LGN
 116   62         010-02:22:16           LGN
 116   63         010-02:22:40           LGN
 116   64         010-02:23:04           LGN
 116   65         010-02:23:28           LGN
 116   66         010-02:23:52           LGN
 116   74         010-02:27:03           LGN
 116   75         010-02:27:27           LGN
 116   76         010-02:27:51           LGN
 116   77         010-02:28:15           LGN
 116   78         010-02:28:39           LGN
 116   79         010-02:29:03           LGN
 116   80         010-02:29:27           LGN
 116  106         010-02:39:50           LGN
 116  107         010-02:40:14           LGN
 116  108         010-02:40:38           LGN
 116  109         010-02:41:02           LGN
 116  110         010-02:41:26           LGN
 116  111         010-02:41:50           LGN
 116  112         010-02:42:14           LGN
 116  113         010-02:42:38           LGN
 116  114         010-02:43:02           LGN
 116  115         010-02:43:26           LGN
 116  116         010-02:43:50           LGN
 116  117         010-02:44:14           LGN
 116  118         010-02:44:38           LGN
 116  119         010-02:45:01           LGN
 116  120         010-02:45:25           LGN
 116  121         010-02:45:49           LGN
 116  122         010-02:46:13           LGN
 116  170         010-03:05:24           LGN
 116  171         010-03:05:48           LGN
